season,player_id,sprint_speed
2021,607208,30.6
2021,641796,30.6
2021,656537,30.4
2021,664983,30.4
2021,642201,30.4
2021,622761,30.3
2021,642350,30.2
2021,596451,30.0
2021,542932,29.9
2021,621439,29.9
2021,666176,29.9
2021,641658,29.8
2021,665750,29.7
2021,641553,29.7
2021,624641,29.7
2021,641933,29.6
2021,546990,29.6
2021,571740,29.5
2021,642708,29.5
2021,664056,29.4
2021,664059,29.4
2021,660670,29.4
2021,605548,29.4
2021,623205,29.4
2021,680776,29.3
2021,664702,29.3
2021,664057,29.3
2021,665487,29.2
2021,621006,29.2
2021,545361,29.2
2021,658668,29.2
2021,664314,29.2
2021,595281,29.2
2021,676694,29.2
2021,594838,29.1
2021,642180,29.1
2021,665862,29.1
2021,663630,29.1
2021,669016,29.1
2021,670084,29.1
2021,663837,29.1
2021,680911,29.1
2021,666158,29.1
2021,665926,29.1
2021,669222,29.0
2021,669256,29.0
2021,657041,29.0
2021,663897,28.9
2021,621450,28.9
2021,670042,28.9
2021,656541,28.9
2021,669242,28.9
2021,666931,28.9
2021,672701,28.9
2021,640458,28.9
2021,656847,28.9
2021,607043,28.9
2021,642423,28.8
2021,668731,28.8
2021,592663,28.8
2021,621035,28.8
2021,665506,28.8
2021,663757,28.8
2021,534606,28.8
2021,660271,28.8
2021,545350,28.8
2021,663538,28.8
2021,622682,28.8
2021,676801,28.7
2021,668227,28.7
2021,514917,28.7
2021,656308,28.7
2021,650489,28.7
2021,456715,28.7
2021,457705,28.7
2021,672779,28.6
2021,641505,28.6
2021,596115,28.6
2021,668804,28.6
2021,541645,28.6
2021,622534,28.6
2021,621438,28.6
2021,621446,28.6
2021,623912,28.6
2021,458731,28.6
2021,614173,28.6
2021,543760,28.6
2021,670764,28.6
2021,593160,28.6
2021,594694,28.5
2021,630105,28.5
2021,595879,28.5
2021,677551,28.5
2021,656775,28.5
2021,608671,28.5
2021,592348,28.5
2021,663697,28.5
2021,606192,28.5
2021,516782,28.5
2021,594807,28.5
2021,595981,28.5
2021,621433,28.5
2021,676391,28.5
2021,662139,28.4
2021,609275,28.4
2021,544725,28.4
2021,642731,28.4
2021,673490,28.4
2021,666969,28.4
2021,645277,28.4
2021,596103,28.4
2021,621453,28.4
2021,663457,28.4
2021,664238,28.4
2021,543807,28.4
2021,571976,28.3
2021,621028,28.4
2021,592261,28.3
2021,592885,28.3
2021,621020,28.3
2021,641943,28.3
2021,669288,28.3
2021,595751,28.3
2021,642721,28.3
2021,664728,28.3
2021,606132,28.3
2021,670097,28.3
2021,665482,28.3
2021,624415,28.3
2021,606157,28.3
2021,644374,28.3
2021,645302,28.3
2021,578428,28.2
2021,663330,28.2
2021,602074,28.2
2021,663662,28.2
2021,641531,28.2
2021,572191,28.2
2021,641561,28.2
2021,670032,28.2
2021,666915,28.2
2021,501571,28.2
2021,621493,28.2
2021,641313,28.2
2021,650559,28.1
2021,670370,28.1
2021,656305,28.1
2021,666160,28.1
2021,607054,28.1
2021,650859,28.1
2021,518586,28.1
2021,608070,28.1
2021,664913,28.1
2021,596117,28.1
2021,545341,28.1
2021,647351,28.1
2021,621550,28.1
2021,641583,28.1
2021,572008,28.1
2021,660829,28.1
2021,673451,28.0
2021,656185,28.1
2021,643396,28.0
2021,666182,28.0
2021,641355,28.0
2021,656716,28.0
2021,663853,28.0
2021,663624,28.0
2021,663611,28.0
2021,664789,28.0
2021,628451,28.0
2021,594809,28.0
2021,624414,28.0
2021,673357,28.0
2021,514888,28.0
2021,642715,28.0
2021,666211,27.9
2021,657108,27.9
2021,593871,27.9
2021,670712,27.9
2021,643289,27.9
2021,666185,27.9
2021,660821,27.9
2021,595909,27.9
2021,606992,27.9
2021,657193,27.9
2021,542454,27.9
2021,502481,27.9
2021,592178,27.9
2021,621563,27.9
2021,660162,27.8
2021,665561,27.8
2021,676480,27.8
2021,592325,27.8
2021,656811,27.8
2021,502054,27.8
2021,605113,27.8
2021,596019,27.8
2021,501659,27.8
2021,546991,27.8
2021,663647,27.8
2021,547180,27.8
2021,663586,27.8
2021,624503,27.8
2021,628338,27.8
2021,669257,27.7
2021,669394,27.8
2021,642221,27.8
2021,592192,27.8
2021,621311,27.7
2021,571980,27.7
2021,622569,27.7
2021,664761,27.7
2021,572041,27.7
2021,543257,27.7
2021,641584,27.7
2021,664023,27.7
2021,643376,27.7
2021,502273,27.7
2021,593428,27.7
2021,592450,27.7
2021,641786,27.7
2021,544369,27.7
2021,657434,27.6
2021,592206,27.6
2021,664058,27.6
2021,453568,27.6
2021,657656,27.6
2021,641856,27.6
2021,657061,27.6
2021,607680,27.6
2021,444482,27.6
2021,641829,27.6
2021,643217,27.6
2021,664040,27.6
2021,668942,27.6
2021,606299,27.6
2021,595943,27.6
2021,658069,27.6
2021,602922,27.6
2021,609280,27.5
2021,650391,27.5
2021,575929,27.5
2021,641487,27.5
2021,621573,27.5
2021,657557,27.5
2021,444876,27.5
2021,461865,27.5
2021,640457,27.5
2021,542364,27.5
2021,656669,27.5
2021,670770,27.4
2021,592444,27.4
2021,457708,27.4
2021,596146,27.4
2021,570481,27.4
2021,543543,27.4
2021,500871,27.4
2021,663656,27.4
2021,571771,27.4
2021,666135,27.4
2021,641343,27.4
2021,572233,27.4
2021,571718,27.4
2021,656896,27.4
2021,608336,27.4
2021,608701,27.3
2021,546318,27.3
2021,573262,27.4
2021,592696,27.4
2021,666198,27.3
2021,669289,27.3
2021,572816,27.3
2021,666801,27.3
2021,595284,27.3
2021,669720,27.3
2021,672695,27.3
2021,542340,27.3
2021,516416,27.3
2021,663993,27.3
2021,642727,27.3
2021,668670,27.3
2021,519306,27.2
2021,592669,27.2
2021,600869,27.2
2021,670351,27.2
2021,672284,27.2
2021,605141,27.2
2021,608686,27.2
2021,643565,27.2
2021,592859,27.2
2021,598265,27.2
2021,623520,27.2
2021,669374,27.2
2021,667670,27.2
2021,570256,27.2
2021,571745,27.2
2021,646240,27.1
2021,621011,27.1
2021,607461,27.1
