season,player_id,pa,offense_runs,total_innings,field_innings,defense_runs
2022,657709,103,-10.419351729708222,257.9736696636696,228.66666666666666,-2.221787825818783
2023,669224,75,-0.7895669144796873,164.66666666666666,164.66666666666666,0.5497665425616312
2021,642423,225,-11.124358559820527,722.7562003070811,639.3333333333334,-13.303809272502145
2024,701538,593,26.224496568287112,1372.3362480127184,1363.0,7.674001820641304
2025,664761,504,-1.329739144723879,1052.686274509804,1046.3333333333335,0.35465439273182
2025,700932,531,8.337388652563924,1093.414933070408,420.6666666666667,-8.332087096666504
2025,606466,556,28.437294174243718,1080.3786344008724,891.3333333333331,7.664394348835058
2021,605244,94,-5.412521622749457,266.6695813460519,257.3333333333333,1.761810293434837
2024,663609,49,-0.3995719466113372,102.96986652757278,2.6666666666666665,-1.5461915091781566
2025,664056,501,14.116317594162002,1154.587666398642,1145.6666666666667,21.904574261629318
2023,641658,252,1.5269194278467473,515.7013280400315,462.0,-0.45721582698341556
2023,672356,345,-13.13787459936701,1002.0195531672782,983.3333333333333,-11.765476932103073
2023,455117,407,-16.573659052498087,952.681116357465,821.3333333333333,1.6586633397388963
2024,660644,278,-8.58764784090725,711.2667985696548,672.3333333333334,4.497481950523316
2025,669127,522,22.08539779865847,1076.8857177446203,953.0,2.3664169321513926
2023,646240,656,19.71531385314874,1321.6666666666665,1303.6666666666665,0.632541163375973
2023,608070,691,26.466844874937017,1374.1703640930966,1097.0000000000002,7.669988197045997
2021,664238,367,-10.421775314785968,1068.325889164599,1056.3333333333335,13.086495314273737
2022,660670,533,15.695624962485212,1034.7263157894736,731.0,-21.023929095413592
2022,624503,443,6.766791996443911,869.6920225729448,761.6666666666665,11.761651468746287
2021,571466,380,-10.544858965892889,852.75524073154,760.3333333333333,6.971913105546229
2025,686797,527,-11.639693328740794,1034.7030736610716,998.3333333333335,4.96402988666616
2025,666176,573,10.47280437845062,1297.2932690520927,1268.0,-37.50882763612581
2022,621458,92,1.7412207614824808,167.34268794547432,11.0,0.6359531830150884
2023,666397,408,17.24315780000272,793.7942048734599,417.33333333333337,-4.352648776108593
2023,677950,402,-11.974921116694869,1029.3049301681624,1015.3333333333335,21.11427798684289
2023,663624,470,6.215407968031512,965.4911813823376,729.0,-11.663597969602312
2021,605137,568,13.081624668814268,1122.5266537631765,1036.666666666667,-25.163817984006883
2021,646240,650,27.440549174430394,1329.5122377622379,1294.0,-0.6886148588772381
2023,543877,355,-18.863803288875033,899.5034749034749,895.0,7.982173360021592
2023,657136,403,-2.9061936691117376,940.9467417894797,877.0,7.083742725217901
2021,543877,490,-16.609740286555542,1198.6851351351352,1177.0,7.633722760061117
2023,553869,526,-13.42389670882502,1146.3157210604716,1069.0000000000002,12.247800292812004
2025,682177,422,-5.89984306526826,780.7941687734838,684.6666666666666,9.648896713922952
2025,810938,295,-8.683030127146578,740.3333333333333,740.3333333333333,25.182933397692537
2022,595751,274,-1.633270149670539,666.7315731751647,575.3333333333333,1.6514248961733295
2023,663616,212,-1.8950205780472649,517.601585314977,498.6666666666667,-5.427570207989327
2024,665161,650,2.154426114852617,1383.3333333333333,1383.3333333333333,14.435541476173533
2021,518735,350,23.909896201641736,731.4794258373206,611.0,-2.304063172923757
2023,545361,361,17.373086033160924,702.5868779878313,670.3333333333333,-15.321599915708395
2022,593160,550,-5.919989221704172,1099.3551196515923,968.0,9.16543117192002
