outs,r1,r2,r3,to_outs,to_r1,to_r2,to_r3,runs,n
0,0,0,0,3,0,0,0,0,1
2,1,1,1,3,0,0,0,3,5
1,0,0,1,1,1,0,0,1,1062
0,0,0,0,0,0,0,0,1,6797
0,0,1,0,1,0,1,0,0,4588
1,0,1,0,1,1,0,1,0,1351
1,1,1,1,2,1,1,1,0,2219
0,1,0,1,0,0,0,0,3,135
0,1,0,0,0,1,1,0,0,9550
0,1,1,0,0,1,1,1,0,2090
1,0,1,0,1,1,1,0,0,2092
1,1,1,0,1,1,0,1,1,706
1,0,0,1,1,0,0,0,2,151
2,1,1,1,2,0,0,0,4,297
2,1,0,0,2,0,1,1,0,1188
2,1,1,0,2,0,0,1,2,171
0,1,0,1,0,1,0,1,1,182
1,0,1,1,2,0,1,0,1,493
0,1,1,0,1,0,1,1,0,1142
2,0,0,1,2,0,1,0,1,460
2,1,0,1,2,1,1,0,1,1052
0,1,1,0,1,1,0,1,0,1234
1,1,1,1,1,1,0,1,2,207
0,1,1,0,0,1,1,0,1,419
0,1,1,0,0,1,0,1,1,302
0,0,1,0,0,0,1,1,0,69
0,1,0,0,1,0,0,0,1,90
1,1,0,0,2,0,0,0,1,134
1,0,1,0,1,0,0,1,1,88
0,1,1,0,2,0,1,0,0,108
2,1,1,0,2,1,0,0,2,59
0,0,0,1,2,0,0,0,0,7
0,1,1,1,2,0,1,1,0,57
0,1,1,0,1,0,1,0,1,44
1,0,0,1,3,0,0,0,0,69
1,0,1,1,3,0,0,0,1,20
0,1,0,1,3,0,0,0,0,3
1,1,1,1,3,0,0,0,2,1
0,1,1,0,3,0,0,0,1,1
1,0,0,0,1,0,1,0,0,6558
2,1,0,0,2,0,1,0,1,1431
1,0,1,1,2,0,0,1,1,816
0,1,0,1,1,1,1,0,0,68
2,0,1,0,2,1,1,0,0,3073
2,1,1,0,2,1,1,1,0,3280
0,0,0,1,0,1,0,1,0,115
2,0,1,0,2,0,1,0,1,1320
0,1,0,0,1,0,1,0,0,4432
0,0,1,0,0,1,0,0,1,604
1,1,1,0,1,0,1,1,1,690
1,1,1,0,1,0,0,1,2,92
1,1,0,1,1,1,0,1,1,357
0,1,1,1,0,0,1,1,2,126
1,1,0,0,1,0,0,1,1,321
1,1,0,1,2,0,0,1,1,115
0,0,1,1,1,0,0,1,1,348
1,1,1,0,1,1,1,0,1,833
0,0,1,0,0,1,1,0,0,1126
1,0,1,1,1,0,1,1,1,26
1,1,1,1,3,0,0,0,0,738
2,1,0,1,3,0,0,0,1,241
2,1,1,1,3,0,0,0,1,155
0,1,1,0,1,0,0,1,1,53
1,1,1,1,1,0,1,1,2,298
2,0,1,1,2,1,0,1,1,191
1,1,0,1,1,0,1,0,2,126
0,0,1,0,1,0,0,0,1,69
0,1,1,0,0,0,1,0,2,148
2,0,1,1,2,1,1,0,1,4
2,0,1,1,2,0,0,1,2,28
1,0,1,1,2,1,1,0,0,66
0,0,1,1,0,1,1,0,1,20
0,1,0,1,2,1,0,0,0,16
1,1,1,1,1,1,0,0,3,9
0,0,0,0,1,0,1,0,0,16
0,0,0,0,0,1,0,0,1,4
0,0,1,1,1,1,0,0,1,9
1,0,1,0,1,1,0,0,1,1268
2,1,0,0,2,1,1,0,0,10831
1,0,0,0,1,1,0,0,0,33975
2,0,0,0,2,1,0,0,0,26695
2,1,0,0,3,0,0,0,0,40645
1,0,0,0,1,0,0,1,0,588
2,0,0,1,2,1,0,1,0,1214
1,1,0,1,2,1,0,1,0,2073
1,1,1,1,2,1,1,0,1,531
2,0,0,0,2,0,1,0,0,5137
1,1,0,1,1,0,1,1,1,304
2,1,1,0,2,1,1,0,1,953
0,1,0,1,0,1,1,0,1,543
2,1,0,1,2,0,0,0,3,350
1,1,1,1,2,1,0,1,1,651
2,0,1,0,2,0,0,0,2,734
2,1,0,0,2,1,0,0,1,449
0,1,0,1,2,0,0,1,0,46
0,1,0,0,0,0,0,1,1,223
2,1,1,0,3,0,0,0,2,23
2,0,1,1,3,0,0,0,1,87
1,1,1,1,2,1,0,0,2,17
2,0,1,0,2,0,0,1,1,116
0,1,1,0,1,1,0,0,1,35
1,0,1,0,1,0,1,1,0,53
0,1,1,1,0,0,1,0,3,43
0,0,1,1,2,0,1,0,0,9
0,1,1,1,2,1,0,1,0,16
2,0,1,0,2,0,1,1,0,8
1,0,0,0,3,0,0,0,1,1
1,0,1,1,1,0,0,1,2,23
0,0,0,1,1,1,0,0,0,6
0,0,0,0,1,0,0,1,0,3
0,0,0,0,3,0,0,0,1,1
0,1,0,0,1,1,0,0,0,21726
1,1,0,0,3,0,0,0,0,7758
2,0,1,0,3,0,0,0,0,16423
1,1,0,1,3,0,0,0,0,1071
2,0,0,1,3,0,0,0,0,6493
1,0,1,0,2,0,1,0,0,8348
1,1,0,1,2,0,1,1,0,343
2,1,0,0,2,1,0,1,0,2863
0,1,0,1,1,1,0,0,1,673
1,0,1,1,1,0,1,0,2,328
1,0,0,0,1,0,0,0,1,4519
2,0,1,0,2,1,0,0,1,2207
1,0,0,1,2,1,0,0,0,165
2,1,0,0,2,0,0,0,2,1826
0,1,1,1,0,1,1,1,1,520
1,1,1,1,1,1,1,1,1,1060
1,1,1,1,1,0,1,0,3,113
0,1,0,0,0,0,1,0,1,692
0,1,0,1,0,1,1,1,0,298
2,0,1,1,2,0,0,0,3,174
2,1,1,1,2,1,1,1,1,1095
2,1,1,0,3,0,0,0,1,182
0,1,1,1,1,1,0,1,1,324
0,1,1,1,1,1,1,0,1,199
0,0,0,1,1,0,0,1,0,545
0,0,0,1,0,1,0,0,1,217
0,1,1,1,0,0,0,0,4,94
1,0,1,1,1,1,0,0,2,375
1,0,0,1,1,0,1,0,1,292
1,0,1,0,1,0,0,0,2,561
0,0,1,0,0,0,1,0,1,507
0,1,1,0,2,0,0,1,0,959
2,1,0,1,2,1,0,1,1,552
2,1,0,1,2,1,0,0,2,121
1,1,1,0,2,1,0,0,1,89
0,0,1,1,0,1,0,0,2,119
1,0,1,1,1,0,0,0,3,145
0,1,1,1,0,1,0,1,2,90
2,0,1,1,3,0,0,0,2,35
0,0,1,0,2,0,0,0,0,63
1,1,1,1,2,0,0,1,2,22
0,1,1,0,3,0,0,0,3,1
0,0,1,1,1,1,0,1,0,25
1,0,1,1,1,1,1,0,1,35
1,1,1,1,1,0,0,1,3,53
1,1,1,0,3,0,0,0,1,14
0,1,1,1,1,1,0,0,2,12
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,1,0,2
0,1,1,1,1,0,0,0,3,4
0,1,0,1,1,0,0,0,2,6
2,0,0,0,3,0,0,0,1,1
0,1,0,0,3,0,0,0,2,1
