steal,inning,half,batting_score_diff,outs,hold_we,success_we,caught_we,we_break_even_success,elite_90_we_gain,primary_success_probability,max_replacement_cost_wpa,adverse_battery_success_probability,adverse_battery_we_gain,re_break_even_success,elite_90_run_gain,max_replacement_cost_ubr_runs,max_replacement_cost_war,worth_before_replacement_cost
1B_to_2B,1,bottom,0,1,0.576778,0.593160,0.532786,0.728657,0.010345,0.931467,0.012244,0.900000,0.010345,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,bottom,0,2,0.546923,0.557218,0.521766,0.709601,0.006750,0.931467,0.007865,0.900000,0.006750,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,bottom,1,0,0.709388,0.736145,0.656388,0.664522,0.018781,0.931467,0.021291,0.900000,0.018781,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,bottom,1,1,0.678915,0.697108,0.640748,0.677208,0.012557,0.931467,0.014330,0.900000,0.012557,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,bottom,1,2,0.652607,0.664480,0.629892,0.656733,0.008414,0.931467,0.009503,0.900000,0.008414,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,bottom,2,0,0.804362,0.818946,0.771976,0.689508,0.009887,0.931467,0.011365,0.900000,0.009887,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,bottom,2,1,0.785722,0.795465,0.762895,0.700857,0.006486,0.931467,0.007511,0.900000,0.006486,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,bottom,2,2,0.770015,0.776282,0.756808,0.678178,0.004320,0.931467,0.004932,0.900000,0.004320,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,bottom,3,0,0.859186,0.869904,0.834546,0.696867,0.007182,0.931467,0.008295,0.900000,0.007182,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,bottom,3,1,0.844896,0.852005,0.827785,0.706481,0.004687,0.931467,0.005449,0.900000,0.004687,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,bottom,3,2,0.833040,0.837603,0.823327,0.680392,0.003135,0.931467,0.003585,0.900000,0.003135,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,-3,0,0.220183,0.236668,0.162621,0.777371,0.009080,0.931467,0.011410,0.900000,0.009080,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,-3,1,0.186637,0.196590,0.149163,0.790124,0.005211,0.931467,0.006703,0.900000,0.005211,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,-3,2,0.160769,0.166650,0.141422,0.766874,0.003358,0.931467,0.004152,0.900000,0.003358,0.701135,0.066166,0.076636,0.007823,True
