season,windows,fwar_6g,fwar_per_game,wpa_6g,wpa_per_game,pa_6g
2021,4708,-0.022866961349877077,-0.003811160224979513,-0.036145072217502135,-0.006024178702917022,6.005734919286321
2022,4710,-0.016934681858382743,-0.002822446976397124,-0.03850031847133761,-0.006416719745222936,5.635668789808917
2023,4710,-0.017548129008917633,-0.002924688168152939,-0.030914649681528662,-0.005152441613588111,5.340976645435244
2024,4708,-0.015642196654987315,-0.002607032775831219,-0.04290250637213256,-0.00715041772868876,4.881690739167374
2025,4710,-0.019297531576788013,-0.003216255262798002,-0.037375583864119065,-0.006229263977353177,4.513163481953291
