state,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0_000,0.7295956839440565,0.14408696745004398,0.06923822689814899,0.032222302016194186,0.014228262625899926,0.006117704088044669,0.0026436740336451283,0.0010817070324422341,4.3986427045368857e-4,2.01978491534857e-4,8.527980753693962e-5,3.5907287383974576e-5,8.976821845993644e-6,8.976821845993644e-6,4.488410922996822e-6,0
0_001,0.16108786610878661,0.5669456066945606,0.13807531380753138,0.07670850767085077,0.03138075313807531,0.01603905160390516,0.0048814504881450485,0.0041841004184100415,0,0,0,0,6.97350069735007e-4,0,0,0
0_010,0.3957705905460259,0.33298415608223125,0.14318449653005108,0.07057745187901009,0.03168783553751473,0.013879795731308105,0.006350661254419274,0.003339007463663742,0.001374885426214482,6.5470734581642e-4,1.3094146916328402e-4,6.547073458164201e-5,0,0,0,0
0_011,0.15304990757855821,0.2510166358595194,0.3027726432532348,0.13863216266173753,0.08872458410351201,0.03770794824399261,0.012199630314232901,0.008502772643253234,0.004066543438077634,0.0018484288354898336,0.0011090573012939,3.696857670979667e-4,0,0,0,0
0_100,0.5834638980651251,0.16186880604058518,0.13217555450684285,0.06518168947616801,0.031977347805568664,0.014705049551675318,0.005946201038225578,0.0025483718735252476,0.0012081170363378952,5.663048607833884e-4,2.0764511562057573e-4,9.438414346389807e-5,1.8876828692779613e-5,1.8876828692779613e-5,1.8876828692779613e-5,0
0_101,0.1436607529208135,0.4104283859800952,0.17027260926006058,0.1475551709216789,0.0690177412375595,0.03375162267416703,0.0149286023366508,0.005841627001298139,0.0021635655560363477,0.0017308524448290783,6.490696668109044e-4,0,0,0,0,0
0_110,0.3802890345649583,0.21863825983313467,0.15174314660309893,0.12656436233611443,0.06421334922526818,0.03285160905840286,0.013855780691299165,0.006257449344457688,0.0032777115613825984,0.001564362336114422,3.7246722288438616e-4,2.979737783075089e-4,0,0,7.449344457687723e-5,0
0_111,0.1404137931034483,0.2595862068965517,0.20082758620689656,0.14786206896551723,0.12,0.06565517241379311,0.03475862068965517,0.018482758620689654,0.0074482758620689656,0.003586206896551724,5.517241379310345e-4,2.7586206896551725e-4,0,2.7586206896551725e-4,2.7586206896551725e-4,0
1_000,0.840503063925898,0.09542293285281431,0.03856905712540189,0.015939819928786094,0.005918036125321666,0.002184551395582763,9.626836658500311e-4,3.7643399754392243e-4,6.171049140064303e-5,2.468419656025721e-5,2.468419656025721e-5,1.2342098280128605e-5,0,0,0,0
1_001,0.33965057743559374,0.48341723423156646,0.10112525910571513,0.047379330766952915,0.017619188628960617,0.00621853716316257,0.0023689665383476457,0.0014806040864672786,5.922416345869114e-4,1.4806040864672785e-4,0,0,0,0,0,0
1_010,0.5968584030965883,0.23593482761724727,0.09757853992258529,0.04271311549194347,0.01647312989467999,0.006391214330722837,0.0027455216491133316,9.901881357457917e-4,0.00022504275812404356,9.001710324961742e-5,0,0,0,0,0,0
1_011,0.312637535366237,0.2772712983338573,0.22870166614272242,0.1013832128261553,0.048883998742533796,0.02059100911662999,0.007230430682175416,0.0020433825840930524,0.0011002829298962591,1.5718327569946557e-4,0,0,0,0,0,0
1_100,0.7330615859057739,0.11198131354767793,0.09048578669353607,0.03891484229489176,0.016014778174712224,0.005816616286525602,0.0023968733779121247,9.312692742206345e-4,2.4426735061524837e-4,6.106683765381209e-5,7.633354706726512e-5,1.5266709413453023e-5,0,0,0,0
1_101,0.3541687369571698,0.37434164761999406,0.11835436748484547,0.0863559574679519,0.03965020371658551,0.017191692338268907,0.005863062704958759,0.002583722547947928,9.937394415184338e-4,4.968697207592169e-4,0,0,0,0,0,0
1_110,0.5822025052192067,0.15866388308977036,0.10512352122477384,0.09133611691022965,0.03836116910229645,0.014309324982602645,0.006350034794711204,0.0026096033402922755,6.089074460681977e-4,2.174669450243563e-4,2.174669450243563e-4,0,0,0,0,0
1_111,0.32405415664937365,0.2683790965456156,0.15335948374035177,0.09806402631911933,0.0905985068961154,0.039731747437681895,0.017208654941161583,0.006326711375427053,0.0016449449576110338,5.061369100341643e-4,1.2653422750854106e-4,0,0,0,0,0
2_000,0.9306963667485071,0.04766367445570934,0.014862949509344527,0.004670327542540255,0.0015257952336325544,3.4078675268950457e-4,1.3166760899367222e-4,7.745153470216013e-5,1.5490306940432024e-5,7.745153470216012e-6,0,7.745153470216012e-6,0,0,0,0
