year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2021,543592,1.575,46.49601311956044,31.566,27.8,0,1,1,0
2021,543592,1.624,38.94749268857492,37.519,27.3,0,1,1,0
2021,543877,NA,42.95678326572242,35.89,28.5,0,1,0,0
2021,543877,NA,49.75191336479619,28.505,28.8,0,1,0,0
2021,543877,1.507,52.33387673747568,27.337,28.8,1,0,1,0
2021,543877,NA,48.18450342101795,29.812,28.8,0,1,0,0
2021,543877,NA,66.34936616270286,21.383,28.5,0,1,0,0
2021,543877,NA,41.13237705284961,38.493,26.6,0,1,0,0
2021,545358,1.468,48.07297191902977,30.24,28.6,1,0,1,0
2021,545358,1.571,50.65422444154501,29.959,26.8,1,0,1,0
2021,545358,1.527,47.237837676399806,31.298,28.4,0,1,1,0
2021,545358,NA,43.79363079255138,31.733,28.5,0,1,0,0
2021,545358,1.593,53.595087732793246,24.497,27,0,1,1,0
2021,545358,1.504,51.52807204668862,26.836,26,0,1,1,0
2021,545358,1.496,42.520309708173684,36.333,28,0,1,1,0
2021,545358,1.604,45.1637188633113,33.642,26.6,0,1,1,0
2021,545358,NA,52.11472501171524,25.468,28.5,0,1,0,0
2021,545358,1.389,44.03152509538379,32.496,28.6,0,1,1,0
2021,545358,1.679,49.837061675175484,30.361,27.8,0,1,1,0
2021,553869,NA,44.71282865890113,32.651,29.1,0,1,0,0
2021,553869,1.453,45.53231428886943,33.284,28.2,1,0,1,0
2021,553869,1.44,43.803164610963634,34.973,30.2,0,1,1,0
2021,553869,NA,49.00392650333788,29.028,28.4,0,1,1,0
2021,553869,NA,40.64699365197481,38.045,23.2,0,1,0,0
2021,553869,1.417,52.22397139972116,27.286,30.2,1,0,1,0
2021,553882,NA,46.53756322704463,32.563,29.3,0,1,0,0
2021,553882,NA,46.30353862760907,31.311,27.5,0,1,0,0
2021,553882,NA,38.37737812217068,39.324,29.4,0,1,0,0
2021,553882,NA,53.06006588226453,27.254,29.7,0,1,0,0
2021,553882,1.681,56.16450429059571,24.928,27.9,1,0,1,0
2021,553882,NA,41.22381367828494,37.901,29.2,0,1,0,0
2021,553882,NA,46.25915392540482,32.551,29,0,1,0,0
2021,571466,NA,34.7331752876069,43.833,27.5,0,1,0,0
2021,572287,NA,49.85956852350049,29.149,28.8,0,1,0,0
2021,572287,NA,41.820709097358346,36.971,26.5,0,1,0,0
2021,572287,NA,47.93207929496401,30.589,30.2,0,1,0,0
2021,572287,1.509,44.177796793904655,31.069,28.6,0,1,1,0
2021,572287,NA,44.455566641104106,34.288,30.1,0,1,1,0
2021,572287,NA,43.2315447002027,36.325,27.9,0,1,0,0
2021,572287,1.49,47.87275581896453,30.082,28,0,1,1,0
2021,572287,1.419,44.54982600663874,31.863,28.3,0,1,1,0
2021,572287,1.463,51.55718809559885,26.32,28.1,1,0,1,0
2021,575929,1.628,48.15952707224149,29.491,29,0,1,1,0
2021,575929,1.551,53.237176329705434,26.713,28.6,1,0,1,0
2021,575929,NA,45.21026462526793,33.281,27.2,0,1,0,0
2021,575929,1.402,50.04393614532695,25.17,28.7,1,0,1,0
2021,575929,NA,46.626998644738215,31.302,29.2,0,1,0,0
2021,575929,1.421,47.65402146913913,32.597,27.7,0,1,1,0
2021,592200,1.47,48.476734632823316,31.09,28.5,0,1,1,0
2021,592663,1.43,51.93086049509492,27.752,28.7,0,1,1,0
2021,592663,1.454,48.13529629166326,31.594,28.8,0,1,1,0
2021,592663,NA,37.50786321880703,41.02,27.8,0,1,0,0
2021,593590,1.592,49.884403832804864,29.615,28.1,0,1,1,0
2021,593590,NA,34.38655192553769,44.036,29,0,1,0,0
2021,595284,NA,53.249596548608416,29.447,27.4,0,1,0,0
2021,595284,1.55,49.710030800444414,28.326,28.6,1,0,1,0
2021,595453,NA,49.873804568932805,29.272,28.2,0,1,1,0
2021,595453,NA,40.417151383852065,36.988,30.2,0,1,0,0
2021,595956,1.637,47.737393751468176,30.13,28.9,0,1,1,0
2021,595956,1.591,45.416546733890115,31.687,26.7,0,1,1,0
2021,595978,NA,48.92386401842107,29.387,28.8,0,1,0,0
2021,595978,1.479,46.859073336023165,30.519,29.8,0,1,1,0
2021,595978,1.52,47.773653107634644,32.545,29.8,0,1,1,0
2021,595978,NA,39.20609713962889,36.864,28,0,1,0,0
2021,595978,1.604,50.55730447334732,27.888,28.1,0,1,1,0
2021,596142,1.513,48.27247430493239,30.594,28.3,0,1,1,0
2021,596142,NA,46.50245301362501,31.572,28.5,0,1,0,0
2021,596142,NA,50.13545309487924,29.322,27.5,0,1,0,0
2021,596142,1.49,49.8055658503499,28.425,28.5,0,1,1,0
2021,596142,1.45,46.35158066719006,33.542,26.9,0,1,1,0
2021,596142,1.494,49.26569104035742,28.474,28.5,0,1,1,0
2021,596142,NA,42.99271955804509,34.836,28.1,0,1,0,0
2021,596142,1.451,47.441914115180325,31.23,28.8,1,0,1,0
2021,600474,NA,41.263627830669286,37.285,25.4,0,1,0,0
2021,600474,NA,48.599513210287846,32.665,25.4,0,1,0,0
2021,600474,1.512,53.62323319996557,26.02,27.8,1,0,1,0
2021,600474,NA,47.3474835284536,31.301,28.7,0,1,0,0
2021,600474,1.498,42.783353328358864,36.509,26.6,0,1,1,0
2021,605131,1.552,45.528113487142434,32.521,28.7,0,1,1,0
2021,605131,NA,38.75127788249201,39.868,29,0,1,0,0
2021,605131,1.553,45.76934852190077,31.462,27.9,0,1,1,0
2021,605131,2.27,61.92649551251856,21.825,29.7,0,1,1,0
2021,605131,1.52,57.21058607348705,22.945,28.8,1,0,1,0
2021,605170,1.554,45.17758544491519,33.382,26.1,0,1,1,0
2021,605170,1.695,49.22058666903722,30.691,28.4,0,1,1,0
2021,605170,NA,70.86091824664858,16.093,29.8,1,0,0,0
2021,605170,NA,46.829138653007384,32.32,28.7,0,1,0,0
2021,605170,1.695,45.41035176475013,33.001,27.3,0,1,1,0
2021,605170,NA,47.0232581515756,31.869,28.6,0,1,0,0
2021,605244,1.423,46.29716121424544,35.02,27.6,0,1,1,0
2021,606988,1.617,48.19818741896889,32.089,28.8,0,1,1,0
2021,606988,1.473,46.81915098346782,32.075,28.8,0,1,1,0
2021,606988,1.545,45.388953939162604,33.95,28,0,1,1,0
2021,606992,1.507,55.02840861256321,25.09,28.5,1,0,1,0
2021,606992,1.569,47.431216256104165,31.054,29.1,0,1,1,0
2021,606992,1.524,49.59813763413543,30.009,27.3,1,0,1,0
2021,607732,1.588,45.22139417349989,34.154,23.2,0,1,1,0
2021,607732,NA,42.16935548177069,37.127,26.7,0,1,0,0
2021,607732,NA,42.08144321464486,35.226,28.2,0,1,0,0
