year,catcher,pop_time,distance,exp_cs,is_cs,sprint,pitchout
2021,425784,2.025,57.813675604465395,0.22555622983447268,1,28.2,0
2021,425784,1.942,56.86959007276006,0.2776043840269207,0,27.8,0
2021,425784,2.053,59.63746679108726,0.22850443315179036,0,28.9,0
2021,425784,2.038,59.50337243254474,0.4292304131767656,1,27.8,0
2021,425784,1.911,57.762588711881406,0.2584555102286973,0,28.5,0
2021,425784,2.068,63.42746208116603,0.7862327915213704,1,26.3,0
2021,425784,1.843,61.97072574170485,0.7761808656317736,0,29,1
2021,425784,2.003,57.961400225133225,0.19043551016633728,1,28.5,0
2021,425784,1.966,53.55141027128564,0.12245294358770013,0,27.4,0
2021,425784,1.963,58.69189776503943,0.4374860387193963,1,27.3,0
2021,425784,2.026,60.793738800362334,0.5491146206347731,1,27.6,0
2021,425784,1.924,58.19112792341462,0.11234264781099078,0,29.9,0
2021,425784,1.895,61.25339294916085,0.46256960938007213,1,28.4,0
2021,425877,1.902,58.1466407358008,0.1324077078535811,0,28.7,0
2021,425877,1.848,58.95367890355323,0.30562525489896986,1,28.7,0
2021,425877,1.923,60.17243092385472,0.47059809518637297,1,27.7,0
2021,425877,1.992,53.17361817661821,0.022904157400589896,0,28.4,0
2021,425877,1.91,60.08285454072002,0.3727483356630607,1,28.7,0
2021,425877,1.906,57.77154007802924,0.2235909951194442,1,28.9,0
2021,425877,1.836,54.71090983312616,0.11239063647114682,0,27.3,0
2021,425877,1.959,59.073451248437046,0.33002808208083756,1,28.5,0
2021,425877,1.928,58.842420007088805,0.3374857963384467,1,28.3,0
2021,425877,1.787,52.58069767166694,0.05839744124318149,1,27.8,0
2021,425877,1.937,54.481375885925864,0.15189704979103685,1,27.8,0
2021,425877,1.852,59.681281295694255,0.23449568473878257,0,30,0
2021,425877,1.862,54.453714714315986,0.10935285218787712,0,28.7,0
2021,425877,1.881,57.929896126698694,0.4620656629606398,1,26.3,0
2021,425877,1.913,57.84024007218628,0.17986766236702212,1,29.7,0
2021,425877,1.861,53.82696935903715,0.10375440111097889,0,28.6,0
2021,425877,1.974,57.285164159476054,0.19755142660616576,0,28.4,0
2021,425877,1.928,58.22210358114535,0.24278967944722912,0,28.3,0
2021,425877,1.912,56.52084787704886,0.28632909805352685,0,26.5,0
2021,425877,1.916,55.77852647451526,0.14317818536501925,1,28,0
2021,425877,1.943,58.084126644962424,0.434533460735252,1,26.4,0
2021,435559,2.009,55.880833901377315,0.17400575143598307,1,28.3,0
2021,435559,1.951,63.386745781538785,0.630733343665574,1,28.3,0
2021,435559,1.987,60.751916844649045,0.642840210596797,1,26.8,0
2021,435559,1.956,56.315653124340876,0.12039375425790858,0,29.8,0
2021,435559,2,62.29276177068885,0.6229925661794775,1,27.6,0
2021,435559,1.963,54.58721897495674,0.19212241494985627,0,27.3,0
2021,435559,2.017,61.95210032745644,0.5678545536666841,1,27.9,0
2021,435559,2.028,60.46394006282715,0.42457621119674005,1,28.5,0
2021,435559,1.925,59.76788240983418,0.3320639605989966,0,28.9,0
2021,435559,2.019,52.89198143057181,0.02701986436547187,0,30.2,0
2021,435559,1.929,59.93910357134438,0.33964402939724714,0,28.8,0
2021,435559,2.006,61.368795917858755,0.41540810224189606,1,28.1,0
2021,435559,1.95,54.26662313429042,0.23130110453848515,0,25.9,0
2021,435559,2.054,57.71296302049452,0.2167144104669059,0,28.5,0
2021,435559,2.087,62.8056373888856,0.7123453633224569,1,27,0
2021,435559,2.058,53.75337797756462,0.19807768641098195,0,26.9,0
2021,435559,1.909,59.051290113408044,0.3287873279247792,0,28.5,0
2021,435559,2.149,56.90392718636413,0.17595620227666187,0,28.8,0
2021,435559,1.909,52.10735432180512,0.05702711538320128,0,29.1,0
2021,435559,1.945,53.31733034734989,0.13353563532700713,0,26.8,0
2021,435559,1.953,59.97662518360003,0.3030733832071105,0,29.3,0
2021,435559,1.957,56.79383570734285,0.2658855142565724,0,27.6,0
2021,435559,1.937,55.8358882051259,0.2121495841404498,0,28,0
2021,435559,1.999,51.07416247308938,0.033526803712601805,0,28.8,0
2021,435559,2.055,56.02281090435023,0.1745629311164552,0,28.1,0
2021,435559,1.974,59.97537685985241,0.49721176911341036,0,27.6,0
2021,444489,1.863,57.242176467849674,0.19106548806367976,1,28.7,0
2021,444489,1.906,59.15465172481584,0.2893397651302467,0,28.5,0
2021,444489,2.023,56.50495803872769,0.09778871798821605,0,28.8,0
2021,444489,2.079,59.50172559040327,0.3307620002766585,0,27.7,0
2021,444489,1.894,56.194893560981,0.20924036862069137,1,28.1,0
2021,444489,1.859,59.052721511405394,0.40094194470122757,1,27.9,0
2021,444489,1.932,58.75577231779879,0.3405415268800136,1,28.3,0
2021,444489,1.902,57.967123694277774,0.22624406575043587,1,29,0
2021,444489,2.044,50.98288142923726,0.03853580633054744,0,28.8,0
2021,444489,1.92,60.35341053346888,0.42362211868123667,1,28.1,0
2021,444489,1.878,56.55273596091676,0.3062004874403945,1,27.3,0
2021,444489,1.879,56.872233641533384,0.16144062977108822,1,29.2,0
2021,444489,1.95,56.715538268357925,0.2488594001183183,1,28,0
2021,444489,1.92,55.1860034625472,0.08787833858912912,0,27.7,0
2021,444489,2.047,57.066510603669194,0.18359991435710196,0,28.6,0
2021,444489,2.002,57.549033303318396,0.17182309204801371,1,28.3,0
2021,444489,1.871,60.24205028321546,0.5258202414547613,0,27.5,0
2021,444489,1.951,57.31832999384243,0.293951747337918,0,27.3,0
2021,455117,1.902,58.1349239160858,0.251443663832834,1,28.9,0
2021,455117,1.949,61.11055239045645,0.2683511055423482,1,28.6,0
2021,455117,1.967,62.25517670730171,0.801172236264436,1,25.9,0
2021,455117,1.934,62.3567319877299,0.5461569591323926,0,27.1,0
2021,455117,1.94,60.22320504957744,0.3259606854839442,1,29.3,0
2021,455117,1.942,56.90312266774689,0.22260498400793277,0,28.5,0
2021,455117,2.02,53.39443145204471,0.12033746909233713,0,26.8,0
2021,455117,1.899,53.61501738405788,0.18349117426570533,0,26.6,0
2021,455117,1.991,64.06197707885141,0.5618110862547497,1,28.1,0
2021,455117,1.98,61.0595789792335,0.6945425733806165,1,26.5,0
2021,455117,2.016,63.70589078406248,0.4430962311579781,1,27.8,0
2021,455117,1.899,59.94595441249314,0.4676047095327732,0,27.8,0
2021,455117,1.945,57.97736850508461,0.09780404677347632,0,28.9,0
2021,455117,1.958,59.70655901080765,0.674613884871901,1,25.5,0
2021,455117,1.924,60.96876662298512,0.36979316997386924,1,29.3,0
2021,455117,2.071,65.11262173384208,0.7323370930248693,1,28.3,0
2021,455117,1.994,57.240913705211106,0.2721726419664593,0,27.9,0
2021,455117,1.943,58.96251957655013,0.3666887508052849,0,28.1,0
2021,455117,1.865,56.97351866353108,0.19712719556322061,0,28,0
2021,455117,1.946,59.36575915236475,0.2617468129614626,0,28.5,0
2021,455117,1.957,58.054789079264786,0.34447227479514936,0,27.8,0
2021,455117,1.868,56.506250628509385,0.1505101211735574,0,29.1,0
2021,455117,2.187,65.56505667157133,0.5273533074389632,1,28.8,0
2021,455117,1.99,62.13920909300062,0.6910646197272292,1,27.1,0
2021,455117,1.951,54.20397074410272,0.1386646419182103,0,28.2,0
2021,455117,1.953,61.833610707044514,0.5668293939026914,1,27.8,0
2021,455117,1.923,56.308409727866135,0.2203114594872638,0,28.2,0
2021,455117,2.039,59.561120025964286,0.3364231712201214,1,28.5,0
2021,455117,1.927,60.7103472817542,0.4627648968755994,0,28.3,0
2021,455139,1.968,56.35076719430499,0.2951341613494804,0,27.3,0
2021,455139,1.957,56.2708870027602,0.24130168037472097,1,27.6,0
2021,455139,1.956,56.2018663103037,0.09335319202916693,1,29.8,0
2021,455139,1.957,53.772552045198196,0.03762106158693068,0,29.8,0
2021,457763,1.98,56.944874586000516,0.2052433216466159,1,28.3,0
2021,457763,1.99,62.119986059179375,0.3722918739544079,0,29,0
2021,457763,2.054,56.656798905046884,0.1829561689064374,0,28.5,0
2021,457763,1.942,55.071375598738555,0.12674631022302574,0,28.1,0
2021,457763,1.918,54.573360970375575,0.12620446921206627,0,28.4,0
