window_len,season,windows,fwar_window_mean,fwar_per_game,pa_mean
3,2021,4798,-0.009023536298255861,-0.003007845432751954,2.094414339308038
3,2022,4800,-0.009968572567116562,-0.0033228575223721874,1.9162500000000051
3,2023,4800,-0.007315317483903039,-0.002438439161301013,1.7704166666666619
3,2024,4798,-0.0077812622436727675,-0.002593754081224256,1.633388912046681
3,2025,4800,-0.009684630850076098,-0.0032282102833586994,1.4887500000000002
4,2021,4768,-0.013504693919875327,-0.0033761734799688317,3.323406040268458
4,2022,4770,-0.01189323474542984,-0.00297330868635746,3.083018867924533
4,2023,4770,-0.00961121984159256,-0.00240280496039814,2.9035639412997876
4,2024,4768,-0.010614401088186745,-0.0026536002720466863,2.6428271812080495
4,2025,4770,-0.012485785137164506,-0.0031214462842911266,2.4148846960167725
5,2021,4738,-0.01734356816501565,-0.00346871363300313,4.634022794428026
5,2022,4740,-0.013871747076899135,-0.002774349415379827,4.332278481012652
5,2023,4740,-0.013965942499397753,-0.0027931884998795503,4.098312236286922
5,2024,4738,-0.012668000418407559,-0.002533600083681512,3.721401435204728
5,2025,4740,-0.01616290252758289,-0.003232580505516578,3.451687763713081
6,2021,4708,-0.022866961349877066,-0.0038111602249795112,6.005734919286319
6,2022,4710,-0.016934681858382768,-0.002822446976397128,5.635668789808924
6,2023,4710,-0.017548129008917664,-0.002924688168152944,5.340976645435244
6,2024,4708,-0.015642196654987287,-0.0026070327758312144,4.88169073916738
6,2025,4710,-0.019297531576788,-0.003216255262798,4.5131634819532875
7,2021,4678,-0.0269654092055127,-0.0038522013150732426,7.434801197092768
7,2022,4680,-0.018497464001053506,-0.002642494857293358,7.024145299145309
7,2023,4680,-0.01911391564559632,-0.0027305593779423315,6.647008547008543
7,2024,4678,-0.01613276392563699,-0.002304680560805284,6.0799486960239415
7,2025,4680,-0.022632587823897817,-0.0032332268319854025,5.612606837606832
8,2021,4648,-0.0295914767065445,-0.0036989345883180623,8.932444061962137
8,2022,4650,-0.019565056946889307,-0.0024456321183611634,8.475268817204299
8,2023,4650,-0.019945369576002476,-0.0024931711970003095,8.003225806451615
8,2024,4648,-0.016062663412016325,-0.0020078329265020406,7.324440619621342
8,2025,4650,-0.025849662003399613,-0.0032312077504249516,6.778064516129037
9,2021,4618,-0.03234797054045088,-0.003594218948938987,10.482243395409267
9,2022,4620,-0.021796446511011078,-0.002421827390112342,9.9831168831168835
9,2023,4620,-0.02082968121480435,-0.00231440902386715,9.420779220779222
9,2024,4618,-0.016466232789430147,-0.0018295814210477941,8.632091814638363
9,2025,4620,-0.028043588415422795,-0.0031159542683803104,7.9705627705627755
