season,runner_id,catcher_id,pop_time,pop_n,sprint_speed,caught
2023,624428,663728,1.96,66,26.5,0
2023,665487,660688,2.06,64,29.3,0
2023,677551,673237,1.9,35,27.5,0
2023,669707,682626,1.94,57,28.4,0
2023,608671,543877,1.95,35,29.0,0
2023,669242,669134,1.97,10,28.8,0
2023,607208,607732,1.97,41,30.3,0
2023,663757,455117,1.93,55,27.7,0
2023,677941,666310,1.94,44,29.2,0
2023,682998,665804,1.98,17,30.1,0
2023,672580,673237,1.9,35,28.2,0
2023,641658,682626,1.94,57,29.8,0
2023,681546,553869,1.93,51,28.9,1
2023,660670,543228,1.99,45,28.0,0
2024,665742,595978,1.94,19,26.8,1
2024,680757,669127,1.91,70,27.1,0
2024,672640,521692,2.01,24,28.7,0
2024,680757,543510,1.98,38,27.1,0
2024,669127,642136,2.01,15,27.8,0
2024,682829,624431,2.07,44,30.0,0
2024,663624,669224,1.98,45,27.6,0
2024,678009,624431,2.07,44,29.3,0
2024,572191,663886,2.02,64,28.5,0
2024,664770,682626,1.92,37,27.0,0
2024,669911,605131,2.0,27,27.4,0
2025,670224,686948,1.95,63,28.3,0
2025,665487,696100,1.95,45,28.6,0
2025,641355,665966,1.92,63,28.2,0
2025,656775,682663,1.99,53,28.4,0
2025,665833,543877,1.94,39,29.2,0
2025,518692,680777,1.98,34,25.6,0
2025,672356,543592,2.07,5,27.0,0
2025,680574,608348,1.95,39,29.2,0
2025,606466,543309,2.03,45,26.6,0
2025,663656,663698,1.99,39,26.5,0
2025,683002,673237,1.95,72,28.5,0
2025,702332,669257,1.94,53,28.1,0
2021,664058,605244,1.94,7,27.6,0
2021,664040,600474,1.97,23,27.6,0
2021,645277,663886,1.97,22,28.4,0
2021,596115,425877,1.91,24,28.6,0
2021,624503,641470,2.02,30,27.8,1
2022,677594,455117,1.92,40,29.7,1
2022,607208,645444,1.94,11,30.3,1
2022,595281,680777,1.98,25,29.2,1
2022,595281,657709,2.08,21,29.2,0
2022,656775,542194,1.89,19,28.5,0
2022,665926,606992,1.95,29,29.3,0
2022,647304,595751,1.89,16,25.3,0
2022,664913,620443,2.0,20,27.8,1
2022,668731,680777,1.98,25,28.9,0
2023,682928,553869,1.93,51,28.6,1
2023,678225,642851,1.91,23,29.7,0
2023,643396,542194,1.87,39,27.7,1
