season,game_pk,at_bat_index,original_runner_id,inning,half,batting_score_diff,outs,expected_future_pa,future_defensive_half_innings,max_replacement_cost_ubr_runs,max_replacement_cost_war,max_replacement_cost_wpa,original_off_rate,original_def_rate,field_share,sprint_speed,expected_future_field_innings,forced_substitution_cost_runs,net_ubr_runs,net_war,state_win_value_per_run,net_wpa,plus_ev,average_substitution_cost_runs,team_side,use_now_team_we,wait_team_we,use_minus_wait,decision,run_sb,run_cs,runs_per_win,gross_wsb_runs,net_wsb_runs,net_wsb_war
2021,632169,57,600303,7,bottom,1,0,0,2,0.177557,0.018125,0.019397,-0.0018988978303224565,-0.01636061856332821,0.884874580529266,24.9,1.769749161058532,-0.013539922342546109,0.1252876311699549,0.019507017945241355,0.10924379213435687,0.013686895936536523,TRUE,0.052269368830045085,home,0.8346959238847171,0.8296451376202779,0.005050786264439222,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.10528658080831406,0.010557649386045486
2021,632169,44,606132,6,top,2,0,1,3,0.177557,0.018125,0.015498,-0.019764288493191194,-0.015104780352711891,0.9740963470211143,28.3,2.9222890410633426,0.0018690675128725312,0.08225122045113074,0.017934080830697512,0.08728464662052186,0.007179268711183588,TRUE,0.09530577954886925,away,0.8180686830102865,0.8175477343543587,5.209486559277776e-4,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.062250170089489895,0.006242157974747646
2021,632170,64,606213,8,bottom,-1,0,1,2,0.177557,0.018125,0.061599,0.004425864995844612,-0.010342185131715849,0.0413820178808552,26.4,0.0827640357617104,0.04461192691594749,0.1560509482284488,0.013570924610357504,0.3469252127485822,0.05413800841377259,TRUE,0.021506051771551175,home,0.45677411282377794,0.43177553484358716,0.024998577980190784,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.13604989786680796,0.013642451959762303
2021,632170,60,670032,8,top,0,0,1,3,0.177557,0.018125,0.054709,0.015466623333137674,-4.7893973538499655e-4,0.9662401651807622,28.2,2.8987204955422863,0.07964692225655243,0.14072623322968836,0.009994580865817415,0.308120772484329,0.04336067569154143,TRUE,0.036830766770311635,away,0.6117106074789774,0.5904728151839556,0.021237792295021873,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.12072518286804751,0.01210576070570261
2021,632189,55,641645,7,bottom,0,0,1,1,0.177557,0.018125,0.044089,-0.004438832431191822,0.00258482107282518,0.8163599375886941,25.9,0.8163599375886941,0.04510285294024511,0.1252876311699549,0.013520811282270548,0.24830899373159046,0.031110045622826148,TRUE,0.052269368830045085,home,0.6768454997345936,0.6659394748252181,0.010906024909375533,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.10528658080831406,0.010557649386045486
2021,632190,47,553902,6,bottom,0,0,1,3,0.177557,0.018125,0.036001,-0.0325340452627678,-0.010914738941950775,0.9268836886032619,24.2,2.780651065809786,0.001656117332033042,0.097874040916431,0.017955818611443304,0.20275742437639743,0.019844688449525687,TRUE,0.079682959083569,home,0.6478701841570595,0.6458879936722173,0.0019821904848422722,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.07787299055479015,0.0078087418606283
2021,632193,62,630105,8,top,2,0,1,2,0.177557,0.018125,0.013341,0.02538963545406318,0.005589165099082792,0.9918968333023394,28.5,1.9837936666046787,0.09407711191577779,0.14072623322968836,0.008521558876843844,0.07513643506029051,0.010573667484341775,TRUE,0.036830766770311635,away,0.8952791512659714,0.8897400129796065,0.005539138286364875,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.12072518286804751,0.01210576070570261
2021,632194,68,649966,9,bottom,-1,2,0,0,0.076636,0.007823,0.035301,0.019220356623185678,0.004683485950968084,0.9354987035354914,26.5,0,0,0.06808156300590222,0.007822940364114283,0.4606320789185239,0.03136055190343121,TRUE,0.008554436994097778,home,0.13385176431414172,0.10284728400164092,0.031004480312500804,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.14900151264426137,0.014941179744003169
2021,632194,54,664023,8,top,-1,1,0,2,0.122845,0.01254,0.030196,0.009213418041034092,-0.019402633413747716,0.8232523024449119,27.7,1.6465046048898238,-0.01760569954242448,0.09353431488744965,0.014337092836506601,0.24580569009727707,0.022991266818685577,TRUE,0.02931068511255035,away,0.28376393995840554,0.2806626307352583,0.0031013092231472195,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.12824526452580878,0.012859839572045716
2021,632198,39,592518,6,top,0,0,2,4,0.177557,0.018125,0.033913,0.03212054087721221,0.008852444372824349,0.9246258593014262,26.4,3.6985034372057046,0.20983764672221025,0.08225122045113074,-0.003295182084436715,0.1909978204182319,0.01570980383290547,FALSE,0.09530577954886925,away,0.5707997109337404,0.5707457603979686,5.395053577172959e-5,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.062250170089489895,0.006242157974747646
2021,632199,60,594809,9,bottom,0,1,0,1,0.122845,0.01254,0.058477,-0.019522273579928966,0.003167121519667863,0.951027741805532,28,0.951027741805532,0.011295339562392344,0.11284409648598592,0.011386898340735464,0.476022630143677,0.05371634360544588,TRUE,0.010000903514014076,home,0.6875306905234099,0.6549671401350973,0.0325635503883126,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.14755504612434506,0.014796134798591437
2021,632199,49,547379,8,top,0,0,1,3,0.177557,0.018125,0.054709,-0.027765498562139033,0.00554189784789935,1,24.7,3,0.055310936705797994,0.14072623322968836,0.012478778418736394,0.308120772484329,0.04336067569154143,TRUE,0.036830766770311635,away,0.6117106074789774,0.5904728151839556,0.021237792295021873,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.12072518286804751,0.01210576070570261
2021,632201,58,542583,9,top,2,0,0,1,0.177557,0.018125,0.009298,0.011086709753218196,-0.009685528700070655,0.9230884778744436,24.4,0.9230884778744436,-9.00627906026426e-4,0.16611966717105323,0.018216809079677196,0.05236628237692685,0.00869906939944048,TRUE,0.011437332828946774,away,0.9450054050705528,0.9399368194111553,0.005068585659397495,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.14611861680941238,0.014652096337483968
2021,632203,62,570482,9,top,2,2,0,1,0.076636,0.007823,0.004372,-0.011058388988717006,-0.005910862343377102,0.9441569779933701,25.7,0.9441569779933701,0.0026426938124806633,0.06690724110449928,0.007553176335516103,0.057048906519129396,0.003816984943223431,TRUE,0.009728758895500724,away,0.9198909977203066,0.917305810450004,0.002585187270302547,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.1478271907428584,0.014823424197131162
2021,632204,55,640457,8,bottom,1,0,0,1,0.177557,0.018125,0.015129,0.016466382298947892,-0.012284234656810882,0.4213151128250644,27.5,0.4213151128250644,-0.0015059377746201056,0.1560509482284488,0.01827859861728117,0.08520644074860467,0.013296545873990899,TRUE,0.021506051771551175,home,0.901329612729869,0.8946252733243988,0.0067043394054702166,USE,0.2,-0.419323,9.97254,0.15755594963835914,0.13604989786680796,0.013642451959762303
