team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,1,top,-10,0,0.016349445652697137,0.01907922945652296,-0.002729783803825825,KEEP
away,1,top,-10,1,0.01199009669244544,0.014431897447070297,-0.0024418007546248566,KEEP
away,1,top,-10,2,0.00921448787341761,0.011222719459114572,-0.0020082315856969624,KEEP
away,1,top,-9,0,0.026183293726561918,0.030178868222248467,-0.003995574495686549,KEEP
away,1,top,-9,1,0.0196833289170234,0.023378116439016994,-0.003694787521993592,KEEP
away,1,top,-9,2,0.01547372981682138,0.01859679991940988,-0.003123070102588499,KEEP
away,1,top,-8,0,0.04088653210275017,0.04655560067357678,-0.0056690685708266075,KEEP
away,1,top,-8,1,0.03143911254246867,0.036875575752541745,-0.0054364632100730725,KEEP
away,1,top,-8,2,0.025208180687338433,0.02993957181568052,-0.004731391128342088,KEEP
away,1,top,-7,0,0.06232254784953317,0.07009850865318312,-0.007775960803649951,KEEP
away,1,top,-7,1,0.04900124773036152,0.056756792602077666,-0.007755544871716147,KEEP
away,1,top,-7,2,0.04004792685358938,0.04700805913766459,-0.0069601322840752156,KEEP
away,1,top,-6,0,0.09264719337513505,0.10292087677417727,-0.010273683399042222,KEEP
away,1,top,-6,1,0.07450329017750312,0.08519190185342973,-0.010688611675926607,KEEP
away,1,top,-6,2,0.062071029232361186,0.07197616912009297,-0.009905139887731784,KEEP
away,1,top,-5,0,0.13409220451317871,0.1471089774621437,-0.013016772948964972,KEEP
away,1,top,-5,1,0.11033168895744028,0.12450201586501064,-0.014170326907570363,KEEP
away,1,top,-5,2,0.09372946966202744,0.10730693813882708,-0.013577468476799637,KEEP
away,1,top,-4,0,0.18856202361070373,0.20429575186656557,-0.015733728255861834,KEEP
away,1,top,-4,1,0.15880357441981185,0.17678224299020395,-0.017978668570392098,KEEP
away,1,top,-4,2,0.1375992306184466,0.15543081410456472,-0.01783158348611813,KEEP
away,1,top,-3,0,0.25703582076789266,0.2750730464479445,-0.018037225680051838,KEEP
away,1,top,-3,1,0.22161269872301226,0.2433099276271209,-0.021697228904108634,KEEP
away,1,top,-3,2,0.19588128522496862,0.21817392527630297,-0.022292640051334356,KEEP
away,1,top,-2,0,0.33885497042323365,0.3583454960602601,-0.019490525637026468,KEEP
away,1,top,-2,1,0.29906676482896766,0.3237954693619879,-0.02472870453302023,KEEP
away,1,top,-2,2,0.2696299648191567,0.29594854792142966,-0.026318583102272974,KEEP
away,1,top,-1,0,0.4311007531706639,0.4508541569127269,-0.019753403742063025,KEEP
away,1,top,-1,1,0.38925301334653906,0.41567607354713243,-0.026423060200593373,KEEP
away,1,top,-1,2,0.3577836644010597,0.386864172851214,-0.029080508450154308,KEEP
away,1,top,0,0,0.5284855745473201,0.5472006958840352,-0.018715121336715046,KEEP
