season,uses,net_wsb_runs,net_wsb_war,net_wpa,use_over_keep_wpa,uses_per_team,net_wsb_runs_per_team,net_wsb_war_per_team,net_wpa_per_team,use_over_keep_wpa_per_team
2021,2072,226.38941977845786,22.70127969187949,46.80249189733139,19.94192010446662,69.06666666666666,7.5463139926152625,0.7567093230626496,1.5600830632443798,0.6647306701488874
2022,2119,237.10543627597326,24.895206945296035,48.327278806353306,20.581335694778467,70.63333333333334,7.9035145425324425,0.8298402315098679,1.6109092935451101,0.6860445231592822
2023,2122,233.87158710314773,23.321159828000983,47.56010940616965,20.030812087382195,70.73333333333333,7.795719570104924,0.7773719942666995,1.585336980205655,0.6676937362460732
2024,2080,230.78216718877283,23.834657235562894,44.11754051993478,18.128420267867128,69.33333333333333,7.692738906292428,0.7944885745187631,1.4705846839978258,0.604280675595571
2025,2158,239.21361168012453,24.47453459902005,46.1532550883307,18.902269283883527,71.93333333333334,7.973787056004151,0.815817819967335,1.5384418362776902,0.6300756427961176
