season,runs_per_win,run_sb,run_cs,games,break_even_safe_rate,gross_wsb_runs,gross_wsb_war
2021,9.97254,0.2,-0.419323,2429,0.6770667325450531,0.15755594963835914,0.015798978960060238
2022,9.52414,0.2,-0.39718,2430,0.6650926018955758,0.15907347539980804,0.0167021353528831
2023,10.0283,0.2,-0.422078,2430,0.6784969087477776,0.157367141280287,0.015692304905147135
2024,9.68263,0.2,-0.405006,2429,0.6694247660353781,0.15853713630352032,0.0163733547913656
2025,9.77398,0.2,-0.409517,2428,0.6718713341875615,0.1582279840337332,0.01618869529441775
