season,windows,fwar_6g,fwar_per_game,wpa_6g,pa_6g
2021,4708,-0.022866961349877077,-0.003811160224979513,-0.03614507221750211,6.005734919286317
2022,4710,-0.016934681858382785,-0.002822446976397131,-0.03850031847133758,5.635668789808924
2023,4710,-0.017548129008917675,-0.002924688168152946,-0.030914649681528683,5.3409766454352425
2024,4708,-0.01564219665498729,-0.0026070327758312153,-0.04290250637213255,4.88169073916738
2025,4710,-0.019297531576788002,-0.0032162552627980003,-0.03737558386411892,4.513163481953293
